Carrier_ID,Carrier_Name
Q5,40-Mile Air
ABX,ABX Air Inc
AN,"ADVANCED AIR, LLC"
1YQ,"Air Charter, Inc d/b/a Air Flamenco"
X4,Air Excursions LLC
AAT,Air Sunshine Inc.
8C,Air Transport International
ZW,Air Wisconsin Airlines Corp
AS,Alaska Airlines Inc.
KO,Alaska Central Express
G4,Allegiant Air
KH,Aloha Air Cargo
AA,American Airlines Inc.
M6,Amerijet International
AMQ,Ameristar Air Cargo
PFQ,Asia Pacific
5Y,Atlas Air Inc.
BAS,Baranautica Air Service LLC
CH,Bemidji Airlines
8E,Bering Air Inc.
Z3,"Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service"
4B,Boutique Air
MX,Breeze Aviation Group DBA  Breeze
LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle
WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines"
1QQ,City Wings Inc dba Seaflight
C5,CommuteAir LLC dba CommuteAir
CP (2),Compass Airlines
DL,Delta Air Lines Inc.
2JQ,Delux Public Charter LLC
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC"
2HQ,Elite Airways LLC
ELL,Ellis Air Taxi Inc.
EM,Empire Airlines Inc.
9E,Endeavor Air Inc.
MQ,Envoy Air
GQQ,Executive Express dba Ravn Connect
EV,ExpressJet Airlines LLC d/b/a aha!
6F,"FOX AIRCRAFT, LLC"
FX,Federal Express Corporation
WST,Friday Harbor Seaplanes
F9,Frontier Airlines Inc.
22Q,Gem Air LLC
GCA,"Global Crossing Airlines, Inc."
G7,GoJet Airlines LLC d/b/a United Express
YR,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines"
GCH,Grand Canyon Helicopters
GV,Grant Aviation
GFQ,Gulf And Caribbean Cargo
H6,Hageland Aviation Service
HA,Hawaiian Airlines Inc.
QX,Horizon Air
9K,"Hyannis Air Service, Inc. dba Cape Air"
V8,Iliamna Air Taxi
2O,Island Air Service
JN,"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit"
27Q,"Jet Aviation Flight Services, Inc."
B6,JetBlue Airways
3KQ,"Junipogo, LLC"
JRQ,"KENAI AVIATION OPERATIONS, LLC"
1EQ,"KaiserAir, Inc."
J5,Kalinin Aviation LLC d/b/a Alaska Seaplanes
KAQ,Kalitta Air LLC
KLQ,Kalitta Charters II
KAT,Katmai Air
M5,Kenmore Air Harbor
KG,Key Lime Air Corp dba Denver Air Connection
2NQ,LIMA NY Corp d/b/a Fly The Whale
L2,Lynden Air Cargo Airlines
3AQ,"Maritime Helicopters, Inc."
YV,Mesa Airlines Inc.
GL,Miami Air International
MW,"Mokulele Flight Services, Inc."
3E,"Multi-Aero, Inc. d/b/a Air Choice One"
7H,NEW PACIFIC AIRLINES
N8,National Air Cargo Group Inc d/ba National Airlines
W7,"Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air"
NEW,New England Airlines Inc.
NC,Northern Air Cargo Inc.
X9,Omni Air International LLC
Z3Q,"PM Air, LLC"
OH,PSA Airlines Inc.
3F,"Pacific Airways, Inc."
K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service"
PAF,Pathfinder Aviation
KS,Peninsula Airways Inc.
PT,Piedmont Airlines
PO,Polar Air Cargo Airways
34Q,"Polaris Aviation Solutions, LLC"
PM,"Prescott Support Company, Inc."
30Q,"Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky"
RVQ,"Reeve Air Alaska, LLC"
YX,Republic Airline
1TQ,Rhoades Aviation dba Transair
7S,Ryan Air f/k/a Arctic Transportation
I4,Scott Air LLC dba Island Air Express
3EQ,"Scott Aviation, LLC  d/b/a  Silver Air"
SEB,"Seaborne Virgin Islands, Inc."
3M,Silver Airways
WI,Sky Lease Cargo
OO,SkyWest Airlines Inc.
2E,Smokey Bay Air Inc.
9S,Southern Air Inc.
9X,"Southern Airways Express, dba Mokulele Airlines"
WN,Southwest Airlines Co.
SNK,Spernak Airways Inc.
NK,Spirit Air Lines
S2,Star Marianas Air Inc.
SY,Sun Country Airlines d/b/a MN Airlines
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern"
XP,TEM Enterprises dba  Avelo Airlines
TQ,"Tailwind Air, LLC"
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo
TJ,Tradewind Aviation
AX,Trans States Airlines
TI,Tropic Ocean Airways LLC
U7,USA Jet Airlines Inc.
1WQ,Ultimate JetCharters LLC dba Ultimate Air Shuttle
UA,United Air Lines Inc.
5X,United Parcel Service
K3,Venture Travel LLC d/b/a Taquan Air Service
VC,Via Airlines d/b/a Sterling Airways
VI,Vieques Air Link Inc.
4W,Warbelow
3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge"
KD,Western Global
8V,Wright Air Service
