Date_ID,Year,Month_num,Month
202001,2020,1,Jan
202002,2020,2,Feb
202003,2020,3,Mar
202004,2020,4,Apr
202005,2020,5,May
202006,2020,6,Jun
202007,2020,7,Jul
202008,2020,8,Aug
202009,2020,9,Sep
202010,2020,10,Oct
202011,2020,11,Nov
202012,2020,12,Dec
202101,2021,1,Jan
202102,2021,2,Feb
202103,2021,3,Mar
202104,2021,4,Apr
202105,2021,5,May
202106,2021,6,Jun
202107,2021,7,Jul
202108,2021,8,Aug
202109,2021,9,Sep
202110,2021,10,Oct
202111,2021,11,Nov
202112,2021,12,Dec
202201,2022,1,Jan
202202,2022,2,Feb
202203,2022,3,Mar
202204,2022,4,Apr
202205,2022,5,May
202206,2022,6,Jun
202207,2022,7,Jul
202208,2022,8,Aug
202209,2022,9,Sep
202210,2022,10,Oct
202211,2022,11,Nov
202212,2022,12,Dec
202301,2023,1,Jan
202302,2023,2,Feb
202303,2023,3,Mar
202304,2023,4,Apr
202305,2023,5,May
202306,2023,6,Jun
202307,2023,7,Jul
202308,2023,8,Aug
202309,2023,9,Sep
202310,2023,10,Oct
202311,2023,11,Nov
202312,2023,12,Dec
202401,2024,1,Jan
202402,2024,2,Feb
202403,2024,3,Mar
202404,2024,4,Apr
202405,2024,5,May
202406,2024,6,Jun
202407,2024,7,Jul
202408,2024,8,Aug
202409,2024,9,Sep
202410,2024,10,Oct
202411,2024,11,Nov
202412,2024,12,Dec
